Date,Open,High,Low,Close,Volume,Adj Close
2014-01-28,129.43,130.01,129.10,129.81,2734200,128.96
2014-01-27,130.02,130.59,128.66,128.96,3312800,128.12
2014-01-24,133.73,133.73,130.22,130.22,3776100,129.37
2014-01-23,135.64,135.66,133.95,134.71,2720300,133.83
2014-01-22,137.35,137.49,136.33,136.48,2118800,135.59
2014-01-21,138.45,138.95,136.30,136.99,2705700,136.10
2014-01-17,137.98,138.75,136.98,137.31,2327900,136.41
2014-01-16,137.74,138.50,137.63,138.16,1792700,137.26
2014-01-15,137.77,138.82,137.56,138.44,3025900,137.54
2014-01-14,135.11,137.41,134.74,137.41,2479700,136.51
2014-01-13,135.81,137.06,134.57,134.68,2633400,133.80
2014-01-10,136.95,137.19,135.68,136.18,3254300,135.29
2014-01-09,137.02,137.43,136.20,136.45,2539900,135.56
2014-01-08,137.48,137.75,136.34,136.63,3122700,135.74
2014-01-07,137.45,138.20,137.13,137.65,2525500,136.75
2014-01-06,138.75,139.29,137.48,137.63,2712100,136.73
2014-01-03,138.37,138.88,138.03,138.45,2133300,137.55
2014-01-02,138.05,139.00,137.61,138.13,3052100,137.23
2013-12-31,140.00,140.43,139.48,140.25,1846500,139.33
2013-12-30,139.08,139.65,138.79,139.42,1714300,138.51
2013-12-27,138.78,139.40,138.55,139.35,1894900,138.44
2013-12-26,137.30,138.68,137.03,138.29,2158200,137.39
2013-12-24,137.23,137.34,136.35,136.99,1311700,136.10
2013-12-23,137.10,137.43,136.32,136.80,3439600,135.91
2013-12-20,136.78,138.09,136.60,136.72,5856800,135.83
2013-12-19,135.06,136.52,134.73,136.41,4080900,135.52
2013-12-18,131.48,135.81,131.48,135.80,5580000,134.91
2013-12-17,130.42,131.62,129.98,131.39,6206800,130.53
2013-12-16,126.77,128.77,126.47,127.66,2805300,126.83
2013-12-13,126.65,127.35,125.98,126.43,1743400,125.60
2013-12-12,126.63,127.39,125.98,126.58,2486700,125.75
2013-12-11,128.74,129.66,126.71,126.77,3897500,125.94
2013-12-10,128.07,128.53,127.53,127.55,2353100,126.72
2013-12-09,128.80,129.18,128.39,128.57,2064400,127.73
2013-12-06,128.19,128.80,127.85,128.61,2886100,127.77
2013-12-05,126.40,127.65,126.22,126.83,2842700,126.00
2013-12-04,125.95,127.59,125.49,126.46,3450700,125.63
2013-12-03,126.06,127.39,125.15,126.60,7864500,125.77
2013-12-02,131.67,132.00,127.39,127.68,6897900,126.85
2013-11-29,133.51,134.16,133.34,133.51,2029000,132.64
2013-11-27,132.63,133.65,131.94,133.50,2433500,132.63
2013-11-26,131.45,132.64,131.33,132.15,4229600,131.29
2013-11-25,131.80,131.87,130.94,131.23,2496300,130.37
2013-11-22,130.36,132.55,129.82,131.02,1644800,130.16
2013-11-21,129.69,130.41,129.59,130.35,1576100,129.50
2013-11-20,129.50,130.30,128.55,129.18,2691800,128.34
2013-11-19,130.02,130.78,129.92,130.05,2532500,128.57
2013-11-18,129.91,130.50,129.78,130.13,2148200,128.65
2013-11-15,129.15,130.00,128.98,129.85,2360400,128.37
2013-11-14,128.97,130.12,128.80,129.79,2569800,128.31
2013-11-13,127.86,128.66,127.43,128.59,2426300,127.13
2013-11-12,128.15,128.59,127.55,128.36,2428600,126.90
2013-11-11,127.54,128.17,127.25,127.95,1751500,126.49
2013-11-08,126.03,128.02,126.03,127.99,2234300,126.53
2013-11-07,127.15,127.88,126.23,126.41,3188900,124.97
2013-11-06,126.46,127.32,126.23,127.13,1910300,125.68
2013-11-05,125.75,126.46,124.86,126.12,1757900,124.68
2013-11-04,125.98,126.49,125.56,126.32,1741500,124.88
2013-11-01,126.76,126.93,125.12,125.90,1676600,124.47
2013-10-31,124.97,126.38,124.95,125.85,2327200,124.42
2013-10-30,125.57,125.98,124.76,124.79,2107700,123.37
2013-10-29,125.08,125.48,124.62,125.28,1986700,123.85
2013-10-28,124.13,125.32,123.80,124.92,2358400,123.50
2013-10-25,123.05,124.46,122.87,124.42,2054300,123.00
2013-10-24,122.96,124.96,122.70,123.49,3851100,122.08
2013-10-23,123.43,123.73,122.50,123.20,2337500,121.80
2013-10-22,123.36,124.32,123.28,123.80,2053500,122.39
2013-10-21,122.79,123.31,122.68,123.25,1762200,121.85
2013-10-18,122.87,123.45,122.40,122.84,2590500,121.44
2013-10-17,120.74,122.87,120.71,122.62,2791700,121.22
2013-10-16,120.86,120.94,120.14,120.94,2646400,119.56
2013-10-15,121.28,121.38,119.79,119.82,2720500,118.46
2013-10-14,120.26,121.70,120.00,121.40,1866800,120.02
2013-10-11,119.16,120.77,118.39,120.72,2492700,119.35
2013-10-10,118.60,119.34,118.32,119.34,2688800,117.98
2013-10-09,117.27,117.96,116.65,117.57,2499200,116.23
2013-10-08,118.72,119.22,117.10,117.16,2869000,115.83
2013-10-07,118.56,119.27,118.28,118.69,1931200,117.34
2013-10-04,118.37,119.71,118.13,119.40,1983700,118.04
2013-10-03,118.71,119.11,117.89,118.55,2525800,117.20
2013-10-02,119.13,119.59,118.44,119.20,2056500,117.84
2013-10-01,119.69,119.82,118.80,119.62,1854800,118.26
2013-09-30,119.39,119.96,118.67,119.41,2104700,118.05
2013-09-27,119.97,120.30,119.26,120.22,2028100,118.85
2013-09-26,120.60,121.00,119.92,120.66,2240900,119.29
2013-09-25,120.89,121.21,120.17,120.20,2173400,118.83
2013-09-24,121.24,121.87,120.69,120.80,3585100,119.43
2013-09-23,120.43,121.47,120.37,121.11,3468500,119.73
2013-09-20,121.50,121.93,120.01,120.01,6999000,118.64
2013-09-19,121.15,122.27,121.15,121.57,2912400,120.19
2013-09-18,120.25,121.51,119.87,121.29,3307700,119.91
2013-09-17,119.07,120.19,118.65,119.93,2436000,118.57
2013-09-16,119.79,120.00,119.06,119.23,2756300,117.87
2013-09-13,118.49,118.85,118.32,118.60,1973300,117.25
2013-09-12,118.80,118.91,118.00,118.20,2399700,116.86
2013-09-11,117.63,118.71,117.59,118.71,1889000,117.36
2013-09-10,117.31,117.87,117.07,117.59,2572800,116.25
2013-09-09,115.63,117.14,115.51,116.74,1976800,115.41
2013-09-06,115.09,115.82,113.89,115.04,1965600,113.73
2013-09-05,114.35,115.12,114.03,114.87,1947900,113.56
2013-09-04,113.08,114.86,113.08,114.55,2312200,113.25
2013-09-03,114.57,114.92,112.85,113.22,2168100,111.93
2013-08-30,113.61,113.74,112.85,113.58,2205600,112.29
2013-08-29,112.87,113.83,112.58,113.32,1457200,112.03
2013-08-28,112.51,113.42,112.36,113.00,1545800,111.71
2013-08-27,113.41,113.82,112.67,112.73,1907500,111.45
2013-08-26,114.38,115.17,114.04,114.33,1815700,113.03
2013-08-23,114.76,115.00,113.59,114.40,1953300,113.10
2013-08-22,113.61,114.89,113.34,114.67,2002000,113.37
2013-08-21,114.79,114.84,113.34,113.42,2293700,112.13
2013-08-20,115.52,115.89,115.19,115.42,2153600,113.48
2013-08-19,115.83,115.96,115.47,115.61,1829300,113.67
2013-08-16,115.68,116.21,115.64,115.90,2332800,113.95
2013-08-15,116.92,116.92,115.64,115.85,1994900,113.90
2013-08-14,118.90,118.91,117.57,117.62,2021400,115.64
2013-08-13,118.52,119.18,117.19,118.67,2023300,116.67
2013-08-12,118.00,118.76,117.72,118.38,1647400,116.39
2013-08-09,118.73,119.20,117.70,118.31,2460100,116.32
2013-08-08,118.27,119.00,117.64,118.68,2380600,116.68
2013-08-07,117.30,117.95,117.04,117.83,1934000,115.85
2013-08-06,117.82,117.95,117.14,117.50,1841100,115.52
2013-08-05,118.17,118.25,117.81,117.92,1351800,115.94
2013-08-02,117.98,118.35,117.47,118.26,1899300,116.27
2013-08-01,118.38,119.26,118.27,118.41,2997000,116.42
2013-07-31,117.13,118.60,117.01,117.43,2694000,115.46
2013-07-30,116.90,117.12,116.33,116.84,2285200,114.88
2013-07-29,116.41,116.81,116.06,116.61,1460400,114.65
2013-07-26,116.17,116.93,115.34,116.91,2332200,114.94
2013-07-25,115.30,116.90,114.84,116.55,3346700,114.59
2013-07-24,117.07,117.09,116.06,116.33,1808800,114.37
2013-07-23,116.44,117.30,116.01,116.75,2254400,114.79
2013-07-22,116.00,116.82,115.66,116.28,2823500,114.32
2013-07-19,115.34,116.47,115.34,116.19,3093900,114.24
2013-07-18,114.61,115.75,114.57,115.48,2945800,113.54
2013-07-17,114.97,115.27,114.31,114.64,2096600,112.71
2013-07-16,114.99,115.44,114.06,114.34,2458400,112.42
2013-07-15,115.14,115.49,114.75,114.85,2064400,112.92
2013-07-12,114.57,115.24,114.27,115.14,2291700,113.20
2013-07-11,114.36,114.75,114.17,114.53,2387500,112.60
2013-07-10,113.38,113.88,112.91,113.43,2307500,111.52
2013-07-09,113.09,113.52,112.79,113.35,2196200,111.44
2013-07-08,112.00,112.78,111.90,112.13,2571600,110.24
2013-07-05,110.37,111.56,109.87,111.54,2064500,109.66
2013-07-03,108.28,109.90,108.21,109.45,1358800,107.61
2013-07-02,109.05,109.75,108.33,108.73,3008800,106.90
2013-07-01,108.37,110.36,108.36,109.31,2668800,107.47
2013-06-28,109.86,110.47,109.14,109.35,3428500,107.51
2013-06-27,110.54,110.90,109.97,110.24,2229600,108.39
2013-06-26,109.07,109.98,108.73,109.68,2524400,107.84
2013-06-25,108.20,108.75,107.54,108.24,2676700,106.42
2013-06-24,108.78,108.78,107.15,107.50,3602500,105.69
2013-06-21,109.50,110.06,108.74,109.59,4674400,107.75
2013-06-20,110.71,110.76,108.52,108.78,2975600,106.95
2013-06-19,112.96,113.25,111.53,111.57,1971700,109.69
2013-06-18,112.07,113.23,111.90,112.97,1695300,111.07
2013-06-17,111.85,112.87,111.64,111.91,2617800,110.03
2013-06-14,111.30,112.07,110.75,111.03,2016800,109.16
2013-06-13,108.95,111.44,108.58,111.20,2604200,109.33
2013-06-12,110.99,111.06,108.95,109.03,2400700,107.20
2013-06-11,109.90,111.08,109.51,110.22,1752100,108.37
2013-06-10,111.41,111.45,110.54,110.81,2224100,108.95
2013-06-07,109.38,111.12,108.97,111.11,3374900,109.24
2013-06-06,108.46,108.78,107.64,108.67,2680800,106.84
2013-06-05,109.80,109.89,108.39,108.59,2690400,106.76
2013-06-04,110.65,111.20,109.53,110.02,2508500,108.17
2013-06-03,110.70,110.95,109.69,110.61,2647100,108.75
2013-05-31,110.79,112.21,110.27,110.27,3207700,108.42
2013-05-30,111.34,112.00,111.01,111.42,2599200,109.55
2013-05-29,111.04,111.36,110.48,111.13,2113600,109.26
2013-05-28,111.15,112.38,111.04,111.59,2722000,109.71
2013-05-24,109.86,110.49,109.49,110.27,2228400,108.42
2013-05-23,110.06,110.70,109.58,110.41,2568400,108.55
2013-05-22,111.59,112.29,110.57,110.79,3833200,108.93
2013-05-21,112.11,112.34,111.52,112.01,2473300,109.50
2013-05-20,111.13,112.06,110.96,111.72,2457300,109.22
2013-05-17,111.16,111.78,110.94,111.39,4060400,108.90
2013-05-16,111.21,111.70,110.95,111.07,2685900,108.58
2013-05-15,110.40,111.71,110.29,111.50,2912600,109.00
2013-05-14,110.32,110.79,110.27,110.59,2481000,108.11
2013-05-13,109.99,110.72,109.71,110.50,2044400,108.03
2013-05-10,110.08,110.64,109.75,110.48,2993300,108.01
2013-05-09,108.11,110.51,108.11,109.92,4487000,107.46
2013-05-08,108.03,108.29,107.77,108.20,2654400,105.78
2013-05-07,107.61,108.37,107.55,108.01,2235200,105.59
2013-05-06,107.63,107.99,107.45,107.84,2174400,105.43
2013-05-03,106.96,108.60,106.85,107.83,3013100,105.42
2013-05-02,105.04,106.38,104.91,106.04,3119500,103.67
2013-05-01,104.78,105.12,104.42,104.55,3258900,102.21
2013-04-30,103.98,104.74,102.97,104.71,3768800,102.37
2013-04-29,103.91,104.20,102.89,103.83,2903700,101.51
2013-04-26,104.97,105.18,103.46,103.79,3359400,101.47
2013-04-25,104.46,105.64,103.50,104.88,9027000,102.53
2013-04-24,107.61,108.15,107.24,107.87,3238200,105.45
2013-04-23,106.24,107.51,105.86,107.39,3209800,104.99
2013-04-22,105.71,106.10,105.14,105.80,2646800,103.43
2013-04-19,105.31,105.88,104.82,105.71,3323000,103.34
2013-04-18,105.84,105.97,104.28,104.98,3144700,102.63
2013-04-17,105.47,105.80,104.93,105.48,3155300,103.12
2013-04-16,106.69,106.85,105.70,106.15,2636800,103.77
2013-04-15,107.15,107.91,105.74,105.76,3677400,103.39
2013-04-12,107.89,108.27,107.31,107.68,2111400,105.27
2013-04-11,107.86,108.72,107.86,108.25,2137800,105.83
2013-04-10,106.09,107.93,106.03,107.69,3262400,105.28
2013-04-09,106.00,106.69,105.39,105.95,2370600,103.58
2013-04-08,105.86,106.42,105.10,105.75,1947700,103.38
2013-04-05,104.45,105.88,104.35,105.78,2477800,103.41
2013-04-04,105.82,106.22,105.30,105.82,1771200,103.45
2013-04-03,106.60,106.97,105.43,105.68,3278900,103.31
2013-04-02,105.80,106.80,105.79,106.52,2097500,104.13
2013-04-01,106.00,106.17,105.42,105.65,1684300,103.28
2013-03-28,105.67,106.34,105.28,106.31,2276700,103.93
2013-03-27,105.35,105.50,104.97,105.29,2129500,102.93
2013-03-26,105.41,106.22,105.41,106.07,1893500,103.69
2013-03-25,106.53,106.80,104.68,105.17,3739200,102.82
2013-03-22,105.10,106.49,105.10,106.42,2409800,104.04
2013-03-21,105.39,105.46,104.72,104.94,1937300,102.59
2013-03-20,105.91,106.17,105.38,105.66,1799500,103.29
2013-03-19,105.83,105.98,104.64,105.18,3211400,102.82
2013-03-18,105.23,105.96,105.22,105.41,1811400,103.05
2013-03-15,105.90,106.88,105.85,106.40,5148400,104.02
2013-03-14,105.33,106.02,105.26,106.02,2203400,103.65
2013-03-13,105.13,105.57,104.88,105.09,2059600,102.74
2013-03-12,105.82,105.98,104.96,105.13,2226800,102.78
2013-03-11,105.33,105.96,105.33,105.81,1720600,103.44
2013-03-08,105.00,105.81,104.82,105.71,2357200,103.34
2013-03-07,104.80,105.15,104.49,104.54,1875200,102.20
2013-03-06,104.73,105.42,104.47,104.66,3470300,102.32
2013-03-05,103.76,104.81,103.65,104.45,2632200,102.11
2013-03-04,103.51,103.51,102.59,103.28,2566300,100.97
2013-03-01,103.39,103.94,102.72,103.77,2660400,101.45
2013-02-28,103.60,104.56,103.14,104.00,2870100,101.67
2013-02-27,102.10,103.93,101.95,103.57,2353700,101.25
2013-02-26,102.11,102.66,101.91,102.31,2471900,100.02
2013-02-25,103.91,104.04,101.75,101.75,3021900,99.47
2013-02-22,102.99,103.70,102.82,103.54,2158100,101.22
2013-02-21,102.88,103.14,102.39,102.72,2758000,100.42
2013-02-20,104.18,104.40,103.15,103.15,2995400,100.84
2013-02-19,103.42,104.39,103.32,104.18,2988500,101.85
2013-02-15,103.06,103.38,102.62,103.23,2326200,100.92
2013-02-14,102.43,103.14,102.22,102.78,2217500,100.48
2013-02-13,103.03,103.39,102.58,102.86,1699900,100.56
2013-02-12,102.66,103.59,102.63,103.46,1928000,100.52
2013-02-11,102.39,102.88,102.04,102.62,1715500,99.71
2013-02-08,102.34,103.33,102.04,102.66,1937800,99.75
2013-02-07,102.65,102.74,101.46,102.22,2277600,99.32
2013-02-06,101.13,102.99,101.08,102.69,3510600,99.77
2013-02-05,101.31,101.92,101.25,101.49,2833100,98.61
2013-02-04,100.77,101.21,100.58,100.77,1987600,97.91
2013-02-01,101.44,101.99,101.16,101.56,3853600,98.68
2013-01-31,100.69,100.95,100.07,100.55,3763100,97.70
2013-01-30,101.80,101.95,100.69,100.80,2822800,97.94
2013-01-29,100.33,101.87,100.06,101.81,3530700,98.92
2013-01-28,100.98,100.98,100.27,100.65,2964900,97.79
2013-01-25,99.79,100.87,99.58,100.59,4237800,97.73
2013-01-24,99.38,99.82,98.80,99.67,3816300,96.84
2013-01-23,98.97,99.70,98.81,99.49,3579300,96.67
2013-01-22,98.39,99.33,98.10,99.33,3215200,96.51
2013-01-18,98.42,98.80,98.04,98.74,3187900,95.94
2013-01-17,97.79,98.50,97.51,98.08,2803900,95.30
2013-01-16,97.00,97.70,96.92,97.60,2092300,94.83
2013-01-15,96.83,97.40,96.57,97.29,2106400,94.53
2013-01-14,96.40,97.39,96.10,97.08,2592500,94.32
2013-01-11,95.84,96.66,95.21,96.28,2923900,93.55
2013-01-10,96.71,96.99,96.33,96.89,2600600,94.14
2013-01-09,95.87,96.74,95.71,96.41,2359700,93.67
2013-01-08,95.17,95.75,95.10,95.50,2655500,92.79
2013-01-07,95.02,95.73,94.76,95.49,2745800,92.78
2013-01-04,94.79,95.48,94.54,95.37,2704900,92.66
2013-01-03,94.34,94.93,94.13,94.67,2704600,91.98
2013-01-02,94.19,94.79,93.96,94.78,3206700,92.09
2012-12-31,91.55,92.92,91.40,92.85,2580600,90.21
2012-12-28,91.98,92.80,91.61,91.78,1877300,89.17
2012-12-27,93.11,93.17,91.67,92.64,2360900,90.01
2012-12-26,93.35,93.73,92.75,93.07,1542900,90.43
2012-12-24,92.70,93.72,92.69,93.19,953400,90.54
2012-12-21,92.78,93.66,91.94,93.10,5975500,90.46
2012-12-20,93.35,94.14,93.21,94.13,3289800,91.46
2012-12-19,93.92,93.98,92.97,93.02,3254800,90.38
2012-12-18,93.13,94.00,93.00,93.85,2800000,91.19
2012-12-17,92.39,93.11,92.13,93.03,2750700,90.39
2012-12-14,92.00,92.58,92.00,92.28,2709000,89.66
2012-12-13,92.95,93.45,92.16,92.50,2621400,89.87
2012-12-12,93.72,94.00,92.52,93.12,4064900,90.48
2012-12-11,92.65,93.90,92.50,93.68,3821600,91.02
2012-12-10,91.37,92.48,91.35,91.87,2847700,89.26
2012-12-07,91.24,91.67,90.68,91.51,2476400,88.91
2012-12-06,90.80,91.09,90.31,90.95,2027700,88.37
2012-12-05,90.30,91.20,89.60,90.76,2996600,88.18
2012-12-04,90.31,90.69,90.00,90.12,1969800,87.56
2012-12-03,91.41,91.68,90.12,90.30,1929200,87.74
2012-11-30,90.68,91.19,90.49,90.95,2284900,88.37
2012-11-29,91.35,91.97,90.51,90.65,2364000,88.08
2012-11-28,90.10,91.00,89.48,90.93,2426200,88.35
2012-11-27,90.19,90.96,90.12,90.31,2504200,87.75
2012-11-26,89.54,90.25,89.54,90.09,1910200,87.53
2012-11-23,89.29,90.33,89.15,90.28,1101100,87.72
2012-11-21,89.08,89.15,88.66,88.94,2011300,86.41
2012-11-20,89.08,89.68,88.40,89.02,2035100,86.49
2012-11-19,89.25,89.70,88.77,89.57,2688600,86.45
2012-11-16,88.12,89.38,87.75,88.50,5237100,85.42
2012-11-15,86.74,88.29,86.74,88.02,3291600,84.96
2012-11-14,89.17,89.38,87.07,87.31,2882700,84.27
2012-11-13,88.60,90.19,88.36,89.08,2985900,85.98
2012-11-12,88.96,89.67,88.50,89.18,2220100,86.08
2012-11-09,88.60,89.56,88.10,88.81,3176400,85.72
2012-11-08,89.11,89.83,88.46,88.55,3005900,85.47
2012-11-07,90.34,90.34,88.71,89.38,4593100,86.27
2012-11-06,89.95,91.23,89.87,90.86,2806100,87.70
2012-11-05,88.08,89.84,88.08,89.60,2387800,86.48
2012-11-02,89.61,89.97,88.78,88.97,3051900,85.87
2012-11-01,87.94,89.40,87.84,89.25,3306600,86.14
2012-10-31,88.03,88.69,87.49,87.60,3360400,84.55
2012-10-26,87.90,88.54,87.59,88.03,3592600,84.97
2012-10-25,88.57,88.84,87.41,87.81,4613900,84.75
2012-10-24,89.03,89.54,88.15,88.39,3321300,85.31
2012-10-23,89.67,90.52,88.58,88.73,5866000,85.64
2012-10-22,92.41,93.06,91.50,92.53,3130800,89.31
2012-10-19,94.61,94.61,92.69,92.94,3804100,89.71
2012-10-18,94.68,95.00,94.17,94.74,2538800,91.44
2012-10-17,94.94,95.10,94.55,94.81,3191800,91.51
2012-10-16,94.02,94.34,93.29,94.23,2857500,90.95
2012-10-15,92.71,93.06,92.37,92.79,2916300,89.56
2012-10-12,92.95,93.34,92.40,92.75,2566100,89.52
2012-10-11,93.86,93.87,92.78,92.83,2429200,89.60
2012-10-10,93.95,94.00,93.15,93.28,2561600,90.03
2012-10-09,95.29,95.29,93.90,93.94,2989500,90.67
2012-10-08,94.55,95.46,94.50,95.37,2607600,92.05
2012-10-05,94.74,95.20,94.45,94.96,3663600,91.66
2012-10-04,94.05,94.53,93.66,94.43,2531400,91.14
2012-10-03,93.81,94.00,93.00,93.78,2610300,90.52
2012-10-02,94.23,94.29,93.10,93.54,3602300,90.29
2012-10-01,92.90,94.27,92.21,93.29,3900600,90.04
2012-09-28,92.47,92.86,91.70,92.42,2559500,89.20
2012-09-27,92.89,93.21,91.96,92.82,2081400,89.59
2012-09-26,92.88,93.40,92.54,92.59,2612900,89.37
2012-09-25,93.95,94.10,92.72,92.83,3800400,89.60
2012-09-24,92.85,94.09,92.76,93.73,3037400,90.47
2012-09-21,94.06,94.07,92.94,93.21,9547000,89.97
2012-09-20,93.20,93.63,92.91,93.58,2075600,90.32
2012-09-19,92.88,94.06,92.73,93.63,2723500,90.37
2012-09-18,93.78,93.99,93.22,93.43,2477500,90.18
2012-09-17,93.66,94.09,93.49,93.78,3290300,90.52
2012-09-14,92.86,93.98,92.56,93.98,4993000,90.71
2012-09-13,90.92,92.43,90.46,92.06,2729300,88.86
2012-09-12,91.60,91.66,90.46,90.81,2409600,87.65
2012-09-11,90.73,91.59,90.65,91.17,2403400,88.00
2012-09-10,92.27,92.31,90.61,90.67,6356100,87.52
2012-09-07,93.38,93.65,92.70,92.82,3215400,89.59
2012-09-06,92.37,93.38,92.06,93.28,3223400,90.03
2012-09-05,91.92,91.99,91.11,91.75,2985500,88.56
2012-09-04,92.03,92.33,91.10,91.68,2532300,88.49
2012-08-31,92.44,93.00,91.90,92.60,1917300,89.38
2012-08-30,92.05,92.15,91.30,91.76,1729600,88.57
2012-08-29,92.50,92.80,92.30,92.43,1736000,89.21
2012-08-28,92.36,92.77,92.20,92.30,1913000,89.09
2012-08-27,92.92,92.97,92.40,92.59,1880000,89.37
2012-08-24,92.03,92.97,91.94,92.83,1945800,89.60
2012-08-23,92.65,92.68,91.79,91.98,1823500,88.78
2012-08-22,92.56,93.36,92.43,92.68,2464000,89.46
2012-08-21,93.98,94.10,92.99,93.21,2302800,89.40
2012-08-20,94.00,94.17,93.55,93.89,1639500,90.05
2012-08-17,93.93,94.30,93.59,94.24,3069600,90.39
2012-08-16,92.75,93.87,92.21,93.74,3395200,89.91
2012-08-15,92.00,92.74,91.94,92.54,1983400,88.76
2012-08-14,92.36,92.50,92.01,92.30,1843500,88.52
2012-08-13,92.29,92.59,91.74,92.40,2075400,88.62
2012-08-10,91.37,92.30,90.95,92.29,1755100,88.52
2012-08-09,91.50,92.07,91.33,91.59,1834900,87.84
2012-08-08,91.48,92.08,91.25,91.63,2022300,87.88
2012-08-07,91.70,92.31,91.62,91.70,1764800,87.95
2012-08-06,92.00,92.34,91.41,91.41,1858500,87.67
2012-08-03,91.03,91.79,91.01,91.70,2713500,87.95
2012-08-02,90.11,90.73,89.23,90.08,2949800,86.40
2012-08-01,91.65,91.80,90.61,91.20,2149700,87.47
2012-07-31,91.00,91.66,90.87,91.23,2720200,87.50
2012-07-30,91.41,91.95,90.91,91.28,2714900,87.55
2012-07-27,90.94,92.08,90.66,91.71,3915400,87.96
2012-07-26,90.00,92.00,89.53,90.59,4759400,86.88
2012-07-25,88.69,89.16,87.96,88.75,3541200,85.12
2012-07-24,89.28,89.51,87.58,88.24,2850400,84.63
2012-07-23,88.44,89.56,87.78,89.36,2434800,85.71
2012-07-20,90.18,90.49,89.84,89.99,3024800,86.31
2012-07-19,90.87,91.20,90.40,90.83,3355100,87.11
2012-07-18,88.75,90.99,88.56,90.87,4273300,87.15
